trial_id,accuracy,variables_json,complexity,loss,latex_format
2_16_26.0.5,0.9721485411140584,"[""Tin"", ""Q"", ""flow_shale"", ""flow_steam"", ""length"", ""Pressure""]",43,,\left(\left(-1.78 + \frac{\left(1.82 + \frac{x_{5}}{x_{1}}\right)^{3}}{0.0840 x_{4}}\right)^{3} - \left(x_{0} \frac{5.01 \cdot 10^{8} \left(0.711 + x_{5} \frac{1}{x_{1}} \cdot 1.49\right)^{3} \left(x_{2} + x_{3}\right)^{3}}{x_{1}^{3}} - - \frac{0.878}{1.07 \cdot 10^{3} \left(x_{2} + x_{3}\right)^{3}}\right)\right) 9.38 \cdot 10^{11}
3_8_26.2.0,0.9714854111405835,"[""Tin"", ""Q"", ""flow_shale"", ""flow_steam"", ""length"", ""Pressure""]",50,,\left(18.2 \left(x_{1} + 5.05 \cos{\left(x_{2} x_{3} \right)}\right) e^{x_{2}} + \frac{\left(0.624 x_{5} + \log{\left(\left(\frac{x_{2} x_{3}}{x_{4}^{3}} + \cos{\left(x_{1} \right)}\right)^{2} \right)}\right)^{3} \left(x_{1} + x_{4} + x_{5} + \frac{1}{x_{2}}\right)^{9}}{x_{2}^{9} x_{3}^{9}}\right) e^{x_{1}}
my_equations/2_11_26.0.5,0.9701591511936339,"[""Tin"", ""Q"", ""flow_shale"", ""flow_steam"", ""length"", ""Pressure""]",50,,x_{4} + \sin{\left(x_{1} \right)} + 2.74 + \frac{- \frac{x_{2} \left(- (- x_{1} + x_{4}) + e^{\frac{x_{0} x_{4} \left(x_{2} + x_{3}\right)}{x_{5}}}\right)}{x_{5} \frac{1}{3.34 \frac{1}{x_{2}}}} - x_{4} + \left(- \frac{x_{5}}{0.568 - x_{1}} + 3.26 - \frac{0.0135}{x_{2} + x_{3}}\right)^{3} + 1.73}{x_{2}}
3_8_26.4.0,0.9688328912466844,"[""Tin"", ""q"", ""flow_shale"", ""flow_steam"", ""length"", ""Pressure""]",50,,- 1.58 \cdot 10^{3} q + 1.58 \cdot 10^{3} \left(- Pressure + \sqrt{flow_{steam}} e^{flow_{shale}}\right) \left(Pressure + 2.40 q \left(\frac{Pressure}{q^{6}} - length + \frac{1}{length}\right) + \sqrt{length - \cos^{2}{\left(length \right)}}\right) + 1.58 \cdot 10^{3} \cos{\left(Pressure - flow_{steam} \left(length + e^{flow_{shale}}\right) \right)} + \tan{\left(length \right)}
2_14_26.1.3,0.96684350132626,"[""Q"", ""flow_shale"", ""flow_steam"", ""length"", ""Pressure""]",50,,x_{4} \left(- \frac{1.28 \cdot 10^{-27} x_{0}^{9} \left(x_{3} - 0.739\right)^{9}}{x_{4}^{9} \left(x_{1} + x_{2}\right)^{9}} - \frac{0.000236 x_{0}^{6} x_{3}^{6} \left(x_{1} + x_{2}\right)^{2} \left(x_{3} - 0.701\right)^{2}}{x_{4}^{8}} + x_{0} - \tan{\left(x_{0} \left(x_{4} + 0.388\right) \right)} + \frac{1.21}{x_{1}}\right)
3_8_26.2.4,0.9641909814323607,"[""Tin"", ""Q"", ""flow_shale"", ""flow_steam"", ""length"", ""Pressure""]",43,,1.80 \cdot 10^{8} x_{2} + 2.22 \cdot 10^{8} x_{3} + 2.22 \cdot 10^{8} x_{4} \left(- x_{1} x_{4} + x_{3} \left(- x_{4} + \sqrt{x_{5}} + \left(- x_{1} + x_{4}\right) \cos{\left(\frac{x_{2} x_{3}}{x_{4}} \right)} + 0.174\right) + x_{4} - 0.0413\right) - 1.80 \cdot 10^{8} x_{4}
3_8_26.2.2,0.963527851458886,"[""Tin"", ""Q"", ""flow_shale"", ""flow_steam"", ""length"", ""Pressure""]",43,,\frac{\cos{\left(x_{0} - \cos{\left(x_{1} \right)} \right)}}{\cos{\left(x_{4} \right)}} + \frac{2.54 \cdot 10^{3}}{x_{2} + x_{3} - x_{4}^{3} - \cos{\left(\sin{\left(x_{2} - \sin{\left(\cos{\left(x_{3} \right)} \right)} \right)} \right)} + \frac{\left(x_{5} - \frac{0.794}{x_{4}}\right) e^{\frac{\cos{\left(x_{1} \right)}}{0.223}}}{x_{1}}}
my_equations/2_11_26.0.2,0.9628647214854111,"[""Tin"", ""Q"", ""flow_shale"", ""flow_steam"", ""length"", ""Pressure""]",48,,\frac{- \frac{x_{5}^{2} \left(x_{4} - 1.44\right)^{2}}{\left(x_{1} + \tan{\left(\tan{\left(x_{0} + x_{3} \right)} \right)}\right)^{2}} + \left(0.681 x_{2} + x_{3}\right) \left(\sqrt{x_{1}} - x_{4} + \frac{497. \left(- x_{4} + x_{5} - \tan{\left(\sin{\left(x_{1} - 0.717 \right)} \right)}\right)^{2}}{x_{1}^{2}}\right)^{2} + \tan{\left(x_{4} + 0.449 \right)}}{x_{3}}
2_17_26.0.8,0.9622015915119363,"[""Tin"", ""Q"", ""flow_shale"", ""flow_steam"", ""length"", ""Pressure""]",46,,x_{1} + \left(- x_{4} + x_{5} \left(x_{2} + x_{3} + \frac{39.4}{x_{1}}\right) - \cos{\left(\frac{1}{x_{2}} \right)} + \cos{\left(x_{4}^{3} \right)}\right) \left(x_{5} + \tan{\left(x_{2} x_{5} \right)} + \tan{\left(\frac{x_{5} \left(x_{1} + x_{2} + x_{3}\right)}{x_{3}} \right)} - \tan{\left(x_{1} - 0.740 \right)}\right)
2_16_26.0.9,0.9615384615384616,"[""Tin"", ""Q"", ""flow_shale"", ""flow_steam"", ""length"", ""Pressure""]",50,,x_{4} \left(\frac{x_{1}}{2.02 - \frac{x_{5}}{x_{4}}} + 101. - \frac{0.621}{x_{2} + x_{3}}\right) + \frac{\tan{\left(x_{0} + 0.254 \right)} - \tan{\left(x_{0} + x_{2} - x_{5} \right)}}{0.270} + \tan{\left(x_{0} \right)} + \tan{\left(x_{1} - 0.834 \right)} \tan{\left(x_{1} + \tan{\left(x_{5} \right)} \right)} + \tan{\left(- x_{3} + x_{5} \right)}
