Complexity,Loss,Equation
1,0.91490906,"x1"
3,0.5812628,"x5 - x1"
4,0.39327112,"48.663708 - x4"
5,0.39212686,"cube(49.204777 - x4)"
6,0.19848731,"cube(x5 / x4) - x1"
7,0.17872795,"x5 - (tan(log(x4)) * x1)"
8,0.16000006,"(x5 / 0.018126648) - (x4 * x1)"
9,0.13564321,"x5 - (tan(log(x4)) * (x1 - x4))"
10,0.1219185,"((x5 + cube(x5 / x4)) - x1) - x1"
11,0.12184712,"cube((x5 + (cube(x5 / x4) - x1)) - x1)"
12,0.119804524,"cube((x5 / x4) + log(square(x5 / x1))) - x1"
13,0.11403081,"((x5 + (cube(x5 / x4) - x1)) + -12.801731) - x1"
14,0.11345454,"cube(((x5 + cube(x5 / x4)) - x1) - x1) - square(x4)"
15,0.11082253,"((cube(x5 / x4) + ((-0.27394047 / x3) + x5)) - x1) - x1"
16,0.110531524,"((x5 + ((3.5649118 / sin(x5)) - x1)) - x1) + cube(x5 / x4)"
17,0.09963636,"((log(cube(cube(x5 / x4))) / (0.32991606 - x2)) * x5) - (x4 * x1)"
19,0.096727274,"(((x5 * log(cube(cube(x5 / x4)))) / (0.31983083 - x2)) - x0) - (x1 * x4)"
20,0.09381818,"((sin(x1) + (log(cube(cube(x5 / x4))) / (0.3334355 - x2))) * x5) - (x4 * x1)"
21,0.09018182,"((log(cube(cube(x5 / x4))) * x5) / (0.32991606 - x2)) - (x4 * (x1 + inv(tan(x0))))"
23,0.08945455,"((x5 * ((log(cube(cube(x5 / x4))) / tan(0.31001782 - x2)) + sin(x1))) - x0) - (x4 * x1)"
24,0.08872727,"((log(cube(cube(x5 / x4))) * x5) / (0.32991606 - x2)) - (x4 * (x1 + (inv(tan(x0)) + tan(x5))))"
26,0.08657296,"((sin(x4 * x1) + log(cube(cube(x5 / x4)))) * (x5 / (0.32391724 - x2))) - ((x4 + cos(tan(x5))) * x1)"
27,0.08218182,"((x5 / (0.33134487 - x2)) * ((log(cube(cube(x5 / x4))) + cos(x1 * 0.4812364)) + sin(square(x1)))) - (x4 * x1)"
29,0.081454545,"(((x5 / (0.32111546 - x2)) * (log(cube(cube(x5 / x4))) + (cos(x1 * 0.48127562) + sin(square(x1))))) - (x1 * x4)) - x0"
31,0.08072727,"((((x5 / (0.32129982 - x2)) * (sin(square(x1)) + (log(cube(cube(x5 / x4))) + cos(x1 * 0.48133972)))) - (x4 * x1)) - x5) - x5"
34,0.08,"((((x5 / (0.32111546 - x2)) * ((cos(x1 * 0.48127562) + log(cube(cube(x5 / x4)))) + sin(square(x1)))) - (x1 * x4)) - x0) - tan(square(square(x4)))"
35,0.07709091,"(((x5 / (0.32111546 - x2)) * ((log(cube(cube(x5 / x4))) + sin(square(x1))) + cos(x1 * 0.48127562))) - (x1 * x4)) - (x1 - (x4 / sin(square(x1))))"
38,0.07490909,"((((x5 / (0.32129982 - x2)) * ((sin(square(x1)) + log(cube(cube(x5 / x4)))) + cos(x1 * 0.48133972))) - (x1 * x4)) - x1) - square(x4 * (x2 / tan(square(x1))))"
40,0.073454544,"(((((x5 / (0.32129982 - x2)) * (sin(square(x1)) + (log(cube(cube(x5 / x4))) + cos(x1 * 0.48133972)))) - (x1 * x4)) - x5) - x5) - square((x4 * x2) / tan(square(x1)))"
43,0.072,"((((x5 / (0.32129982 - x2)) * ((sin(square(x1)) + cos(x1 * 0.48133972)) + log(cube(cube(x5 / x4))))) - ((x1 * x4) + x5)) - x5) - square((x4 * (cos(x1) * x2)) / tan(square(x1)))"
46,0.07127273,"(((((x5 / (0.32129982 - x2)) * ((sin(square(x1)) + cos(x1 * 0.48133972)) + log(cube(cube(x5 / x4))))) - (x1 * x4)) - x5) - x5) - (square(x4 * ((cos(x1) * x2) / sin(square(x1)))) * 1.4169929)"
